"V1","V2","V3","V4","V5","V6","V7","V8","n","var","Tipo","EQM_MIN"
0.00292869566536929,0.00284088915367717,0.00266071995995467,0.00250360795829963,0.1,0.09,17,6,150,0.05,"1500.05",4
0.00291574268677497,0.00289094122167928,0.00291411626599005,0.00325812064858564,0.07,0.07,18,21,150,0.05,"1500.05",2
0.00266724401788406,0.00246433528740176,0.00247370646241118,0.00228908213771043,0.1,0.09,16,6,150,0.05,"1500.05",4
0.002886103474073,0.00290737563695821,0.00274544469743006,0.00264867896354238,0.09,0.09,19,6,150,0.05,"1500.05",4
0.00336125221760041,0.00336850951531067,0.00319314907942338,0.00298172229908706,0.09,0.09,22,6,150,0.05,"1500.05",4
0.00320196611276573,0.00296154817138993,0.00295174667977737,0.00302899416487976,0.08,0.09,16,6,150,0.05,"1500.05",3
0.00287117407424841,0.00278778531880179,0.00288084352516645,0.00270791951051294,0.08,0.07,21,7,150,0.05,"1500.05",4
0.00361877960599263,0.00350419071061529,0.00340560610394522,0.00307570715882337,0.11,0.09,20,6,150,0.05,"1500.05",4
0.00281188538092307,0.00278589683272784,0.00270145426430659,0.00252389262138531,0.08,0.07,16,6,150,0.05,"1500.05",4
0.00281250254425656,0.00262844827902744,0.00284952650659657,0.00270566627164178,0.05,0.05,17,6,150,0.05,"1500.05",2
0.00298343269823995,0.00298732299059175,0.00296243971088875,0.00268947281952314,0.08,0.08,21,6,150,0.05,"1500.05",4
0.00290852588380953,0.00289354142341469,0.00270287149223564,0.00250419523537085,0.1,0.09,16,6,150,0.05,"1500.05",4
0.00257101446354194,0.0024841923757048,0.00239427009836243,0.00222589314177009,0.1,0.09,17,6,150,0.05,"1500.05",4
0.00281139190135636,0.00270705581160989,0.00267972462369502,0.00269698702773322,0.08,0.09,22,6,150,0.05,"1500.05",3
0.00282843844501286,0.00283727458600136,0.00283978346547407,0.00249847824844337,0.06,0.06,21,10,150,0.05,"1500.05",4
0.00284533368693966,0.0028703182371039,0.00268288575512873,0.00260649624256254,0.09,0.07,20,12,150,0.05,"1500.05",4
0.00274578778566806,0.00273524890538437,0.00259227502859762,0.00239358413614136,0.1,0.09,18,6,150,0.05,"1500.05",4
0.00345306911307006,0.00341993966703316,0.00331992801040034,0.00302852114389073,0.09,0.08,22,8,150,0.05,"1500.05",4
0.00237102514269797,0.00234201178947772,0.00231479877147493,0.00225166261477282,0.07,0.07,16,7,150,0.05,"1500.05",4
0.00295501206841531,0.00295360218169129,0.00283466593994014,0.00251342961419743,0.09,0.09,22,6,150,0.05,"1500.05",4
0.00306181607209223,0.00307194076960064,0.00282549974613672,0.00286075062996004,0.1,0.09,18,6,150,0.05,"1500.05",3
0.00314948990967324,0.00315311669798384,0.00313509963994774,0.00292167933640854,0.05,0.07,19,6,150,0.05,"1500.05",4
0.00265017030030796,0.00267616717938201,0.00261270483138463,0.00251295712234121,0.07,0.05,22,16,150,0.05,"1500.05",4
0.0029609734862608,0.00296374144918618,0.00273616772743596,0.0027474353325912,0.1,0.08,20,7,150,0.05,"1500.05",3
0.00292731862890548,0.00292758916966262,0.0027500625979929,0.00284303621363894,0.09,0.09,18,6,150,0.05,"1500.05",3
0.00363465525677764,0.00347931424697254,0.00349893177594953,0.00322941446889899,0.1,0.09,14,10,150,0.05,"1500.05",4
0.00211638724062989,0.00213469085398424,0.00200811693677674,0.00199905780363822,0.07,0.07,21,6,150,0.05,"1500.05",4
0.00250661285930955,0.00244719149838998,0.00233763256774821,0.00226454994537676,0.1,0.09,20,13,150,0.05,"1500.05",4
0.00268534894775073,0.00266593949063465,0.00280130624329667,0.00266429461497391,0.08,0.07,20,6,150,0.05,"1500.05",4
0.00270473428930918,0.00267378173780049,0.00271241525301587,0.00249171208801487,0.07,0.07,16,9,150,0.05,"1500.05",4
0.00278962532998658,0.00272971454703077,0.00259904607429108,0.00257011874096226,0.08,0.08,17,8,150,0.05,"1500.05",4
0.00340646488874199,0.00296688311575022,0.00331075668634939,0.00294024385661023,0.1,0.08,18,9,150,0.05,"1500.05",4
0.00312295646478796,0.00314173746576608,0.00288535220529196,0.00285391469867789,0.09,0.1,18,6,150,0.05,"1500.05",4
0.00270480975017899,0.00273745994049865,0.00272729487536504,0.00253297063893362,0.08,0.08,20,6,150,0.05,"1500.05",4
0.00271752076348725,0.00271133169666978,0.00286527217718357,0.00274198003657592,0.08,0.08,17,6,150,0.05,"1500.05",2
0.00276141006485701,0.00272491614202524,0.00263552093119963,0.00236950217421303,0.09,0.09,22,6,150,0.05,"1500.05",4
0.00265500135208142,0.00268201919875504,0.0024626453785464,0.00237642347817581,0.09,0.09,19,6,150,0.05,"1500.05",4
0.00293869557967176,0.00288221875610372,0.00281411588799283,0.00252308805680769,0.09,0.08,19,6,150,0.05,"1500.05",4
0.00294429820572911,0.00283540400166472,0.00271193047188579,0.00255521089077682,0.11,0.09,16,9,150,0.05,"1500.05",4
